bande_src;bande_dst;detecteur;delta_t
B03;B05;D02;-0.746553925
B03;B05;D03;0.734975278
B03;B05;D04;-0.738405371
B03;B05;D05;0.729668494
B03;B05;D06;-0.735765258
B03;B05;D07;0.728858269
B03;B05;D08;-0.735975784
B03;B05;D09;0.73142277
B03;B05;D10;-0.740809887
B03;B05;D11;0.740609383
B03;B05;D12;-0.749889447
B03;B06;D01;1.00590544
B03;B06;D02;-1.012255455
B03;B06;D03;0.991897196
B03;B06;D04;-1.001703177
B03;B06;D05;0.984850485
B03;B06;D06;-0.997039438
B03;B06;D07;0.983712876
B03;B06;D08;-0.998481411
B03;B06;D09;0.987570647
B03;B06;D10;-1.004628422
B03;B06;D11;0.998300562
B03;B06;D12;-1.017329355
B03;B07;D01;1.269419302
B03;B07;D02;-1.275644954
B03;B07;D03;1.251989282
B03;B07;D04;-1.26253189
B03;B07;D05;1.242900319
B03;B07;D06;-1.256117306
B03;B07;D07;1.241492136
B03;B07;D08;-1.258367136
B03;B07;D09;1.246409675
B03;B07;D10;-1.2667107
B03;B07;D11;1.260237748
B03;B07;D12;-1.282779696
B03;B08;D01;-0.262346442
B03;B08;D02;0.262042205
B03;B08;D03;-0.258915891
B03;B08;D04;0.259330538
B03;B08;D05;-0.257262077
B03;B08;D06;0.258391268
B03;B08;D07;-0.25669576
B03;B08;D08;0.258233851
B03;B08;D09;-0.257260292
B03;B08;D10;0.25998434
B03;B08;D11;-0.259106348
B03;B08;D12;0.263655656
B03;B8A;D01;1.529466658
B03;B8A;D02;-1.541176203
B03;B8A;D03;1.509139838
B03;B8A;D04;-1.52559703
B03;B8A;D05;1.498125657
B03;B8A;D06;-1.518260994
B03;B8A;D07;1.495984133
B03;B8A;D08;-1.520679843
B03;B8A;D09;1.501799559
B03;B8A;D10;-1.53056515
B03;B8A;D11;1.517917061
B03;B8A;D12;-1.550268282
B03;B09;D01;2.071535533
B03;B09;D02;-2.073634642
B03;B09;D03;2.044064135
B03;B09;D04;-2.05289533
B03;B09;D05;2.029652349
