bande_src;bande_dst;detecteur;delta_t
B03;B05;D05;0.731632375
B03;B05;D06;-0.737285231
B03;B05;D07;0.730447329
B03;B05;D08;-0.737519664
B03;B05;D09;0.732048031
B03;B05;D10;-0.743128607
B03;B05;D11;0.739443351
B03;B05;D12;-0.750794051
B03;B06;D01;1.007027355
B03;B06;D02;-1.014051715
B03;B06;D03;0.993648919
B03;B06;D04;-1.004350789
B03;B06;D05;0.987573686
B03;B06;D06;-0.998754567
B03;B06;D07;0.985005341
B03;B06;D08;-0.999335458
B03;B06;D09;0.987377467
B03;B06;D10;-1.006346412
B03;B06;D11;0.997826891
B03;B06;D12;-1.019736388
B03;B07;D01;1.270924198
B03;B07;D02;-1.277714709
B03;B07;D03;1.253487669
B03;B07;D04;-1.265452687
B03;B07;D05;1.245516404
B03;B07;D06;-1.259144736
B03;B07;D07;1.243921278
B03;B07;D08;-1.259656196
B03;B07;D09;1.246885005
B03;B07;D10;-1.268589054
B03;B07;D11;1.259663642
B03;B07;D12;-1.284040016
B03;B08;D01;-0.262865822
B03;B08;D02;0.2625718
B03;B08;D03;-0.260076846
B03;B08;D04;0.25942012
B03;B08;D05;-0.257735646
B03;B08;D06;0.258452468
B03;B08;D07;-0.256748296
B03;B08;D08;0.258549204
B03;B08;D09;-0.258733431
B03;B08;D10;0.260308748
B03;B08;D11;-0.260761752
B03;B08;D12;0.263748994
B03;B8A;D01;1.530904382
B03;B8A;D02;-1.544320006
B03;B8A;D03;1.510469115
B03;B8A;D04;-1.529509961
B03;B8A;D05;1.500573211
B03;B8A;D06;-1.521673612
B03;B8A;D07;1.498112026
B03;B8A;D08;-1.523296637
B03;B8A;D09;1.501846174
B03;B8A;D10;-1.534156185
B03;B8A;D11;1.517288311
B03;B8A;D12;-1.553113985
B03;B09;D01;2.071999352
B03;B09;D02;-2.077461628
B03;B09;D03;2.04439781
B03;B09;D04;-2.055922196
B03;B09;D05;2.030000374
B03;B09;D06;-2.046411671
B03;B09;D07;2.027501615
B03;B09;D08;-2.04714767
B03;B09;D09;2.035109665
B03;B09;D10;-2.062286219
B03;B09;D11;2.053719816
B03;B09;D12;-2.087929148
B03;B10;D01;0.351658672
B03;B10;D02;-0.332950268
B03;B10;D03;0.349261703
B03;B10;D04;-0.331455379
B03;B10;D05;0.348563205
B03;B10;D06;-0.326452246
B03;B10;D07;0.347064297
B03;B10;D08;-0.325277656
B03;B10;D09;0.351353853
B03;B10;D10;-0.327655477
B03;B10;D11;0.352170928
B03;B10;D12;-0.326924552
B03;B11;D01;0.976749438
B03;B11;D02;-0.964348778
B03;B11;D03;0.965170913
B03;B11;D04;-0.956356908
B03;B11;D05;0.960157039
B03;B11;D06;-0.947415548
B03;B11;D07;0.957775114
B03;B11;D08;-0.948249583
B03;B11;D09;0.963620144
B03;B11;D10;-0.954852228
B03;B11;D11;0.971663617
B03;B11;D12;-0.965081717
B03;B12;D01;1.600109979
B03;B12;D02;-1.596152314
B03;B12;D03;1.581069184
B03;B12;D04;-1.581058684
B03;B12;D05;1.572180531
B03;B12;D06;-1.5694784
B03;B12;D07;1.568447227
B03;B12;D08;-1.571059545
B03;B12;D09;1.57666421
B03;B12;D10;-1.582184812
B03;B12;D11;1.590563749
B03;B12;D12;-1.600409495
B04;B01;D01;1.323272146
B04;B01;D02;-1.318992146
B04;B01;D03;1.306191358
B04;B01;D04;-1.305144634
B04;B01;D05;1.295996527
B04;B01;D06;-1.298366844
B04;B01;D07;1.295011726
B04;B01;D08;-1.299822006
B04;B01;D09;1.299322784
B04;B01;D10;-1.308503102
B04;B01;D11;1.310177734
B04;B01;D12;-1.326510677
B04;B02;D01;-1.00783383
B04;B02;D02;1.009413032
B04;B02;D03;-0.995001295
B04;B02;D04;0.998947574
B04;B02;D05;-0.98787852
B04;B02;D06;0.993991661
B04;B02;D07;-0.985391412
B04;B02;D08;0.994727453
B04;B02;D09;-0.989911006
B04;B02;D10;1.001753796
B04;B02;D11;-0.999561025
B04;B02;D12;1.014255194
B04;B03;D01;-0.48213014
B04;B03;D02;0.485011988
B04;B03;D03;-0.475466278
B04;B03;D04;0.480494716
B04;B03;D05;-0.472785489
B04;B03;D06;0.478351827
B04;B03;D07;-0.471964086
B04;B03;D08;0.478645333
